3.14159,0,1,0,0.02
3.1767,0.0130983,1.75864,0.1742,0.14
3.19007,0.0528701,1.83952,0.2302,-0.78
2.85451,-0.663792,1.67972,-0.5498,0.32
2.87535,0.681789,1.20848,0.0262,-0.94
2.86863,-0.688068,0.047201,-1.4778,0.32
2.53609,-0.0134027,-1.15322,-1.1898,0.98
4.19314,1.47155,-1.75978,0.4762,-0.06
5.22815,0.431717,-1.27226,0.4102,0.86
5.21077,-0.48092,-0.774419,1.0122,-0.76
1.38827,-1.91158,-0.627835,-0.8954,-0.2
1.18415,-1.80003,-0.727539,-0.9174,-0.68
0.848148,-1.55948,-0.924619,-1.0534,0.8
-0.698916,-2.11025,-1.54868,-0.3334,0.28
-7.39333,-2.28834,-1.33334,0.4814,0.16
-9.77229,-2.7587,-0.835279,0.6254,-0.48
-10.8533,-2.57621,-0.623519,0.4334,-0.12
-26.5274,-2.35138,-0.380271,-0.3598,0.1
-48.5391,-2.40726,0.603796,0.5712,-0.74
-52.8265,-2.20981,-0.425849,-1.3602,0.66
-55.5661,-0.528239,-1.82625,-0.0402,0.1
-55.7613,-0.0457623,-1.82989,0.0298,0.04
