0.0019,0.0488,0,0,0,4.7163,0.628319,1.88496,0.03,0
0.0025063,-0.0529354,0.0355313,0.0515641,-2.96605,-2.72483,0.345575,3.33009,0.053,2
0.0275989,0.0144456,-0.0542137,0.225948,3.45051,2.18143,0.251327,2.32478,0,3
0.0275989,0.0144456,-0.0542137,0.225948,3.45051,2.18143,1.19381,0.125664,0.091,49
0.0280706,-0.00256015,-0.0667642,1.18624,3.28367,0.543407,-1.28805,1.82212,0.044,54
-0.00583851,0.0368243,0.0521651,-2.15826,-2.86369,1.79211,0.219911,1.69646,0.036,132
-0.00813289,-0.0590669,-0.0104265,2.24576,0.217602,-3.76933,-1.00531,3.33009,0.035,134
0.0499708,0.0348663,-0.0657677,0.568137,3.06747,0.607374,-0.534071,3.95841,0.015,220
0.0552947,0.073276,-0.0495287,0.183678,1.98345,1.4239,-0.816814,2.9531,0.091,266
0.0279308,0.0515603,-0.0191559,1.74976,3.76081,0.52928,-1.31947,2.70177,0.079,509
0.0381464,0.0789013,0.0354051,-1.15682,-2.16937,0.019121,1.44513,0.314159,0.0205,512
-0.00240188,-0.00340423,0.00163043,1.9269,-3.90277,-20.3234,9.2689e-310,0,0.0205,683
