3.14159,0,1,0,0.1,0.4,0
3.14949,0.0389416,1.008,0.04,0,4.2,1
3.10366,-0.0118481,1.1764,0.04,0.1,1.6,4
3.23372,0.138133,1.3684,0.2,-0.5,2.4,5
2.31382,-0.457198,0.398375,-1.005,0,1.2,13
2.33612,0.491457,-0.807625,-1.005,0.6,0.5,14
2.71926,1.02654,-1.23513,-0.705,0.9,1.9,26
5.25753,0.685073,-0.950125,1.005,-0.2,5,27
1.47475,-1.43345,1.57491,0.003,-0.1,0.6,53
0.787296,-0.881854,1.55871,-0.057,-0.2,1,80
0.250847,-0.260192,1.40171,-0.257,-0.6,0.4,176
0.21154,0.0614582,1.25091,-0.497,-0.4,0.6,196
0.36144,0.450934,0.880715,-0.737,-0,3.3,221
4.93707,1.27613,-1.55876,-0.737,0.7,1.3,842
5.58693,-0.269614,-1.92536,0.173,0.3,1.3,2441
4.42734,-1.53642,-1.44696,0.563,-0.1,4.64,21478
0.0426731,-0.0213873,0.088885,0.099,9.26898e-310,0,26563
