0.0019,0.0488,0,0,0,4.7163,0.973894,2.19911,0.083,0
0.00727789,0.0221125,-0.0458852,0.188583,2.97354,3.3531,1.28805,1.69646,0.068,2
0.0024641,-0.0194278,-0.0688097,0.661859,2.99753,0.130469,1.09956,4.58673,0.053,15
-0.0185349,-0.0646694,-0.00391496,0.101239,-0.556084,-3.17829,-0.534071,5.84336,0.008,20
-0.0150991,-0.0629623,-0.0276969,0.738668,0.939791,-2.67938,0.0628319,1.00531,0.015,145
0.00461677,-0.0304461,-0.0545955,1.73571,3.23006,-0.529719,-0.471239,0.439823,0.028,150
0.0113642,0.0346263,0.0358293,-2.1866,-1.51934,4.2033,-0.911062,2.89027,0.03,326
-0.0428564,-0.0400185,0.0560319,-0.784073,-2.01858,-1.88463,1.22522,1.00531,0,385
-0.0428564,-0.0400185,0.0560319,-0.784073,-2.01858,-1.88463,1.47655,4.02124,0.098,419
-0.0491411,-0.0409054,0.051282,-0.746227,-1.71453,-2.1178,-0.471239,4.83805,0.053,595
0.0465375,0.0333701,-0.0155401,0.616271,3.02964,3.31716,-0.314159,2.38761,0.0872,1924
0.00194853,-0.00404417,-0.000313165,-7.53679,8.28922,-17.3664,2.26347e-313,0,0.0872,2182
